exp,fold,seed,n_train,n_test,rmse,pearson,spearman,acc3,f1_macro3,params,train_minutes,git_sha,mae,per_complex_spearman,n_complexes_counted,dataset,note
E0c_rf_pooled_esm_mpnn,4,0,752,188,1.6377120349666843,0.3125394310932894,0.2603171994499237,0.3723404255319149,0.21304535904090963,131982,0.1,cbbc56a,1.1461175712027951,0.26477383354358863,11,skempi_abag,pooled_esm_mpnn/rf
E0c_rf_pooled_esm_mpnn,0,1,752,188,2.4474161102205505,0.4984232104086198,0.4939875393829348,0.3351063829787234,0.1904688858209337,131574,0.096,cbbc56a,1.705502096544364,0.4359946409812056,9,skempi_abag,pooled_esm_mpnn/rf
E0c_rf_pooled_esm_mpnn,1,1,752,188,1.6466393049826213,-0.14735486294071212,-0.28881300363948526,0.48936170212765956,0.2834869232384761,131574,0.096,cbbc56a,1.3987142748875359,0.22371445040769083,11,skempi_abag,pooled_esm_mpnn/rf
E0c_rf_pooled_esm_mpnn,2,1,752,188,1.281389221121889,0.4738190882376048,0.4297395656633709,0.46808510638297873,0.33150046476310174,131574,0.096,cbbc56a,0.9840600284363519,0.419567972077274,11,skempi_abag,pooled_esm_mpnn/rf
E0c_rf_pooled_esm_mpnn,3,1,752,188,1.306471496868335,0.31751886514693906,0.39942762820942995,0.35638297872340424,0.28538273596090796,131574,0.096,cbbc56a,1.0298121622943368,0.35844906629477413,11,skempi_abag,pooled_esm_mpnn/rf
E0c_rf_pooled_esm_mpnn,4,1,752,188,1.6363464656777107,0.3144676163583051,0.2788794218598636,0.3723404255319149,0.21304535904090963,131574,0.096,cbbc56a,1.1363213382061255,0.2845344461776588,11,skempi_abag,pooled_esm_mpnn/rf
E0c_rf_pooled_esm_mpnn,0,2,752,188,2.433399748921473,0.524352504454568,0.5434841795122783,0.35106382978723405,0.21499034059680958,131738,0.097,cbbc56a,1.7018013722692027,0.5530870528843769,9,skempi_abag,pooled_esm_mpnn/rf
E0c_rf_pooled_esm_mpnn,1,2,752,188,1.6072766307344928,-0.040079826912089195,-0.15888178359071947,0.5212765957446809,0.280730697873555,131738,0.097,cbbc56a,1.3604438073263057,0.21971357806440722,11,skempi_abag,pooled_esm_mpnn/rf
E0c_rf_pooled_esm_mpnn,2,2,752,188,1.2858568523747138,0.47219617459658714,0.4112346260675152,0.5106382978723404,0.3714599089093414,131738,0.097,cbbc56a,0.9927722566144448,0.33868770253685226,11,skempi_abag,pooled_esm_mpnn/rf
E0c_rf_pooled_esm_mpnn,3,2,752,188,1.3048321241284297,0.3189109915850873,0.397148946253367,0.3776595744680851,0.3089066082968522,131738,0.097,cbbc56a,1.0270033555794853,0.5041144918752928,11,skempi_abag,pooled_esm_mpnn/rf
